subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Dates	schema:expires	expires	schema:Date schema:DateTime	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-26	https://orcid.org/0000-0003-2261-9931
Temporal Coverage	schema:temporalCoverage	temporalCoverage	schema:DateTime schema:Text schema:URL	skos:broadMatch	cov:temporalCoverage	temporalCoverage	cov:TemporalCoverage	1	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:Instant	Instant	owl:Class	skos:broadMatch	cov:SingleDateTimeType	singleDateTime	xs:complexType	1	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:ProperInterval/time:hasBeginning	hasBeginning	owl:ObjectProperty	skos:broadMatch	cov:beginDate	beginDate	cov:SingleDateTimeType	1	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:ProperInterval/time:hasEnd	hasEnd	owl:ObjectProperty	skos:broadMatch	cov:endDate	endDate	cov:SingleDateTimeType	1	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:TimePosition/time:numericPosition	numericPosition	xsd:decimal	skos:broadMatch	cov:timeScaleAgeEstimate	timeScaleAgeEstimate	res:NonEmptyStringType	0.75	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:TimePosition/gstime:geologicTimeUnitAbbreviation	geologicTimeUnitAbbreviation	xsd:string	skos:exactMatch	sssom:NoMapping			0.75	No match can be found.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:TimePosition/gstime:uncertaintyYounger	uncertaintyYounger	xsd:decimal	skos:exactMatch	sssom:NoMapping			0.75	No match can be found.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:TimePosition/gstime:uncertaintyOlder	uncertaintyOlder	xsd:decimal	skos:exactMatch	sssom:NoMapping			0.75	No match can be found.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:TimePosition/gstime:uncertaintySigma	uncertaintySigma	xsd:decimal	skos:exactMatch	sssom:NoMapping			0.75	No match can be found.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
